node_id,lat,lon,hospital_name,hospital_capacity,hospital_specialties,hospital_emergency
288567874,42.5800953,-5.5717922,,0,,False
288583808,42.6017792,-5.5913441,,0,,False
288583814,42.6020876,-5.5913563,,0,,False
288583902,42.6019244,-5.590663,,0,,False
288583972,42.6024174,-5.5885526,,0,,False
288583976,42.6023321,-5.5887275,,0,,False
288584064,42.601999,-5.5883085,,0,,False
288584151,42.6022565,-5.588155,,0,,False
288584154,42.6023988,-5.5883219,,0,,False
288584157,42.6021356,-5.5887678,,0,,False
288593232,42.6037705,-5.582996,,0,,False
288593235,42.6038552,-5.582977,,0,,False
288593239,42.6040473,-5.5831144,,0,,False
288593241,42.604063,-5.5834578,Centro de Salud La Condesa,20,general,False
288593248,42.6039166,-5.5836174,,0,,False
288593253,42.6023881,-5.5883008,,0,,False
288593256,42.604366,-5.5805949,,0,,False
288593259,42.6028221,-5.5866684,,0,,False
288593260,42.6026974,-5.5863362,,0,,False
290208496,42.5647238,-5.5523334,,0,,False
290208498,42.5616932,-5.5521974,,0,,False
290212438,42.5639124,-5.5790118,,0,,False
290212448,42.5796888,-5.5739373,,0,,False
290212449,42.5799077,-5.5735391,,0,,False
290214270,42.5742396,-5.5889938,,0,,False
290214276,42.5767323,-5.5890724,,0,,False
290214281,42.5796732,-5.5872571,,0,,False
290219026,42.5824539,-5.5839867,,0,,False
290219382,42.5868258,-5.58443,,0,,False
290220314,42.5696426,-5.588262,,0,,False
290220318,42.5750674,-5.5885734,,0,,False
295152033,42.6024714,-5.560504,,0,,False
295152035,42.6006309,-5.5624189,,0,,False
295152041,42.5994615,-5.5649487,,0,,False
295152046,42.6066698,-5.5629756,,0,,False
295152055,42.607067,-5.5631139,,0,,False
295152057,42.6097951,-5.5637459,,0,,False
295152058,42.6097117,-5.5639182,,0,,False
295152066,42.6094198,-5.5638847,,0,,False
295152068,42.6093586,-5.5636531,,0,,False
295152071,42.6095407,-5.5633792,,0,,False
295152072,42.6096969,-5.5634176,,0,,False
295152075,42.6135922,-5.5661344,,0,,False
295152081,42.615562,-5.5662828,,0,,False
295152466,42.6167242,-5.5649763,,0,,False
295153618,42.6028298,-5.5705996,,0,,False
295154942,42.6084993,-5.5886345,,0,,False
295157307,42.6004251,-5.5858865,,0,,False
295157313,42.6003691,-5.5860437,,0,,False
295157326,42.60011,-5.5859408,,0,,False
295157340,42.6001636,-5.585714,,0,,False
295157355,42.6001059,-5.5858467,,0,,False
295160945,42.5483278,-5.583039,,0,,False
295161000,42.5478593,-5.5830882,,0,,False
295165001,42.5911475,-5.5684902,,0,,False
295165015,42.5883104,-5.5683836,,0,,False
295165023,42.5867351,-5.5683244,,0,,False
295165025,42.5882915,-5.5695996,,0,,False
295165029,42.5901997,-5.5696843,,0,,False
295165034,42.5902257,-5.5684365,,0,,False
295165041,42.590323,-5.56444,,0,,False
295165043,42.5910957,-5.5644626,,0,,False
295165045,42.5912735,-5.5642984,,0,,False
295165061,42.5910269,-5.5639388,,0,,False
295165063,42.5909781,-5.5637485,,0,,False
295165065,42.5910426,-5.5631037,,0,,False
295165085,42.5976702,-5.5572964,,0,,False
295173971,42.5999124,-5.5637783,,0,,False
295173996,42.5992472,-5.5644815,,0,,False
295173998,42.598998,-5.5630328,,0,,False
295174007,42.5963102,-5.5653845,,0,,False
295174011,42.5959492,-5.5655234,,0,,False
295174013,42.5930516,-5.5649928,,0,,False
295174015,42.5943922,-5.5652561,,0,,False
295174017,42.5943496,-5.5658622,,0,,False
295174041,42.594444,-5.5662954,,0,,False
295174043,42.593021,-5.5683161,,0,,False
295174047,42.587428,-5.5683498,,0,,False
295174049,42.5874003,-5.56956,,0,,False
295174051,42.5874869,-5.5654073,,0,,False
295174053,42.5883289,-5.5671723,,0,,False
295174058,42.5874563,-5.5671346,,0,,False
295174060,42.5902548,-5.5672466,,0,,False
295174062,42.5911676,-5.5672802,,0,,False
295181899,42.5868596,-5.5670133,,0,,False
295181910,42.5866359,-5.5694177,,0,,False
295181912,42.5903441,-5.563543,,0,,False
