edge_id,origin_id,destination_id,key,street_name,highway_type,length_m,lanes,maxspeed_kmh,oneway,base_time_min,base_risk,surface_quality,has_coverage,origin_lat,origin_lon,destination_lat,destination_lon
1259,593276647,593276655,0,Calle San Carlos Borromeo,residential,41.94,1,30,True,0.0839,0.6,0.85,True,42.5952354,-5.5609859,42.5951503,-5.5604867
1260,593276647,593276630,0,Calle Vidrieros,residential,67.89,1,30,True,0.1358,0.6,0.85,True,42.5952354,-5.5609859,42.5947389,-5.5614425
1261,593276655,593276677,0,Calle San Leandro,residential,152.2,1,30,True,0.3044,0.6,0.85,True,42.5951503,-5.5604867,42.5964831,-5.5600631
1262,593276655,1070708704,0,Calle San Carlos Borromeo,residential,36.53,2,30,True,0.0731,0.6,0.85,True,42.5951503,-5.5604867,42.5950798,-5.5600508
1263,593276659,593276665,0,Calle Víctor de los Ríos,residential,42.16,1,30,True,0.0843,0.6,0.85,True,42.5966586,-5.5610611,42.5965702,-5.5605603
1264,593276665,593276677,0,Calle Víctor de los Ríos,residential,41.84,1,30,True,0.0837,0.6,0.85,True,42.5965702,-5.5605603,42.5964831,-5.5600631
1265,593276665,593276647,0,Calle Santiago,residential,152.46,1,30,True,0.3049,0.6,0.85,True,42.5965702,-5.5605603,42.5952354,-5.5609859
1266,593276677,595248740,0,Calle Víctor de los Ríos,residential,62.18,1,30,True,0.1244,0.6,0.85,True,42.5964831,-5.5600631,42.5963527,-5.5593244
1267,593276682,593299730,0,Calle Víctor de los Ríos,residential,69.57,1,30,False,0.1391,0.6,0.85,True,42.5967478,-5.5615588,42.596894,-5.5623852
1268,593276682,593276605,0,Calle Batalla de Clavijo,residential,151.33,1,30,True,0.3027,0.6,0.85,True,42.5967478,-5.5615588,42.5954213,-5.5619719
1269,593276682,593276659,0,Calle Víctor de los Ríos,residential,41.93,1,30,True,0.0839,0.6,0.85,True,42.5967478,-5.5615588,42.5966586,-5.5610611
1270,593276686,593299805,0,Calle Obispo Almarcha,residential,63.23,1,30,True,0.1265,0.6,0.85,True,42.5988059,-5.5620245,42.599361,-5.561857
1271,593276686,593276690,0,Avenida José María Fernández,tertiary,91.84,2,30,True,0.1837,0.5,0.85,True,42.5988059,-5.5620245,42.5986125,-5.5609337
1272,593276690,593276714,0,Calle Batalla de Clavijo,residential,70.3,1,30,True,0.1406,0.6,0.85,True,42.5986125,-5.5609337,42.5979992,-5.5611424
1273,593276690,600502435,0,Avenida José María Fernández,tertiary,61.7,2,30,True,0.1234,0.5,0.85,True,42.5986125,-5.5609337,42.5984826,-5.5602008
1274,593276700,593299726,0,Calle Víctor de los Ríos,residential,42.28,1,30,False,0.0846,0.6,0.85,True,42.5971177,-5.5636416,42.5970276,-5.5631398
1275,593276700,593299722,0,Calle Víctor de los Ríos,residential,56.89,1,30,False,0.1138,0.6,0.85,True,42.5971177,-5.5636416,42.597236,-5.5643178
1276,593276700,593276701,0,Calle de San Juan,tertiary,142.79,2,30,True,0.2856,0.5,0.85,True,42.5971177,-5.5636416,42.598367,-5.5632381
1277,593276701,593299801,0,Calle de Cantarranas,residential,42.4,1,30,True,0.0848,0.6,0.85,True,42.598367,-5.5632381,42.5982803,-5.5627338
1278,593276701,295173998,0,Calle de San Juan,tertiary,72.15,2,30,True,0.1443,0.5,0.85,True,42.598367,-5.5632381,42.598998,-5.5630328
1279,593276704,593299786,0,Calle de Cantarranas,residential,52.66,1,30,True,0.1053,0.6,0.85,True,42.598604,-5.5645455,42.5984943,-5.5639197
1280,593276704,593276530,0,Calle de San Pablo,residential,143.54,1,30,True,0.2871,0.6,0.85,True,42.598604,-5.5645455,42.5973485,-5.5649534
